Ensembl_ID	PD1-001	PD1-003	PD1-004	PD1-005	PD1-011	PD1-017	PD1-019	PD1-020	PD1-027
ENSG00000011052	3175.73	1250.8	916.84	1986.31	3676.86	1926.16	20.51	878.6	1601.55
ENSG00000011083	9	1	8	5	14	8	110.16	4	0
ENSG00000011105	1226	619	438	420	834	2730	55	6070	687
ENSG00000011114	305.99	4855	2798	1533.69	5805.92	3262.56	558.82	3579	2701
ENSG00000011132	1033	1476	1365	1505	1661	3053	577	1251	1580
ENSG00000011143	202.99	1368.97	475.98	418.96	831.77	1584.67	173.84	519.92	1124
ENSG00000011198	33	449	263	172	722	295	45	275	391
ENSG00000011201	67	1099	227	166.95	970.04	541.8	157	573.64	550
ENSG00000011243	1580.93	3623.29	2175.55	1906.96	4354.55	3625.69	375.85	3841.63	3720.95
ENSG00000011258	220	1507	1338	862	2819	2254	128	1530	1532
ENSG00000011260	1072	2456	1244	1416	2260.97	2297	296	1664	1391
ENSG00000011275	947.28	3818.72	2423.04	1541.26	4884.9	6961.5	346.81	2293.92	2312.55
ENSG00000011295	497.26	1114.93	1126.28	362.62	2487.06	914.16	347.51	2067.75	1708.2
ENSG00000011304	3544	9882	6610	4846	10484	14261	367	9695	12716
ENSG00000011332	36	143	5	15	22	20	174	15	224
ENSG00000011347	86	1730	62	26	118	80	199	91	375
ENSG00000011376	308	1080	785	545	1575	1021	181	546	1321
ENSG00000011405	407	4357	3323	1628	6998	3208	206	3221	2720
ENSG00000011422	205	370	521	714	1090	750	219	372	604
ENSG00000011426	215.88	3697.96	825	416	1423.89	7168.97	131	785	1345
ENSG00000011451	3286	5780	3603	2920	5642	7961	922	5587	7555
ENSG00000011454	513	2124.41	1868.48	1198	4212.19	1778.56	91.77	1748.17	1703.16
ENSG00000011465	1046	1799	8905	5093	33128	2052	84	7019	2790
ENSG00000011478	128	174	87	73	138	226	73	89	140
ENSG00000011485	962.91	1583.47	1288.08	865.64	2909.1	2334.43	335	2533.72	3429.91
ENSG00000011523	2920	4117	2615	1855	3503	2358	530	10769	1948
ENSG00000011566	177	2326	1141	653	2995	1396	104	1292	1188
ENSG00000011590	113	143	168	146	364	294	230	106	174
ENSG00000011600	87	357	821	347	932	530	64	313	76
ENSG00000011638	338	479	433	450	1581	721	36	2003	759
ENSG00000011677	11	485	0	27	0	29	121	116	106
ENSG00000012048	214	1609	1158	886	2209	3541	221	919	1071
ENSG00000012061	791.69	1728.84	1331.93	780.66	2173.51	1375.48	243.71	1752.29	2856.12
ENSG00000012124	101	51	602	84	2171	375	304	169	34
ENSG00000012171	303	651	198	148	1110	667	554	245	4728
ENSG00000012174	602.8	4488.12	1976.98	1038.43	3613.04	2487.37	866.42	2541.71	972.1
ENSG00000012211	504	293	399	530	684	1269	216	1076	706
ENSG00000012223	61	57	433	265	330	56	157	47	5
ENSG00000012232	431	3242	1907	1212	2865	5144	608	1845	1603
ENSG00000012504	4	2	0	0	1	174	82	0	0
ENSG00000012660	128	847	3122	908	5365	2413	70	667	645
ENSG00000012779	511	803	3576	2355	4921	1211	284	2003	1056
ENSG00000012817	4	2	2	3695	13585	4870	3	5861	2
ENSG00000012822	1002	2152	2953	2901	7036	1730	407	2900	2735
ENSG00000012963	178	1483.62	646.38	263.09	1248.6	753.1	101	550.92	1280.44
ENSG00000012983	362	4598	1796	1005	5647.36	1494	80	3339	2500
ENSG00000013016	631	914	635	612	2080	363	366	578	838
ENSG00000013275	417	2673	1026	907	1752	2478	80	1949	1498
ENSG00000013288	1487	2234	2498	1704	5186	5036	381	3753	3929
ENSG00000013293	12	6	2	7	42	2	466	12	13
ENSG00000013297	113	75	48	29	188	54	94	85	157
ENSG00000013306	3487	6684	1553	1645	2403	5616	349	3397	3577
ENSG00000013364	4707	3427.82	8833.66	5601.37	14571.12	3266.15	554	7634.01	7335.45
ENSG00000013374	569.37	1702.43	4154.68	2937.09	4716.87	2211.8	174.22	1803.22	1403.18
ENSG00000013375	215.93	1816.05	1588.74	643.27	3282.99	1133.42	240.59	1503.76	770.68
ENSG00000013392	68	346	191	80	319	228	116	224	112
ENSG00000013441	1080	5142	7289	2865	16070	4797	325	7659	5148
ENSG00000013503	279.85	731	662	418.84	1789.78	1330.98	85.41	1861	712
ENSG00000013523	271	1726	938	592	2148	1355	257	1061	1232
ENSG00000013561	450.98	1472.99	978.99	398.97	1893.69	802	126	1484	794
ENSG00000013563	310.76	851.27	368.5	375.83	656.14	588.49	199.79	590.87	889.22
ENSG00000013573	3095.3	4616.74	2122.37	2072.54	5264.52	8561.46	473.43	2017.35	4832.93
ENSG00000013583	157	295	199	143	493	383	68	301	286
